"PopulationID","FirstSample","PopulationName","Region"
1,"0DAV1","Alaska_DAV","Alaska"
2,"DIMO1","Alaska_DIMO","Alaska"
3,"0KOD1","Alaska_0KOD","Alaska"
4,"OLAN1","Alaska_OLAN","Alaska"
5,"0ONG1","Alaska_ONG","Alaska"
6,"0MCH1","Alaska_MCH","Alaska"
7,"0NAP1","Alaska_NAP","Alaska"
8,"NUSH1","Alaska_NUSH","Alaska"
9,"0SAP1","Alaska_SAP","Alaska"
10,"0UCH1","Alaska_UCH","Alaska"
11,"DENA1","Alaska_DENA","Alaska"
12,"RTC_Boreal_Ft.Nelson.1","Canada_RTC_Boreal_Ft.Nelson","Canada"
13,"RTC_Boreal_Caribou_Mts_Alberta.1","Canada_RTC_Boreal_Caribou_Mts_Alberta","Canada"
14,"RTC_Boreal_Red_Earth.1","Canada_RTC_Boreal_Red_Earth","Canada"
15,"RTC_Boreal_WSAR.1","Canada_RTC_Boreal_WSAR","Canada"
16,"RTC_Boreal_CLAWR.1","Canada_RTC_Boreal_CLAWR","Canada"
17,"RTC_SSM_Atlin.1","Canada_RTC_SSM_Atlin","Canada"
18,"RTC_SSM_Horseranch.1","Canada_RTC_SSM_Horseranch","Canada"
19,"RTC_SSM_Level_Kawdy.1","Canada_RTC_SSM_Level_Kawdy","Canada"
20,"RTC_SSM_Rabbit.1","Canada_RTC_SSM_Rabbit","Canada"
21,"RTC_SSM_Muskwa.1","Canada_RTC_SSM_Muskwa","Canada"
22,"RTC_SSM_Frog.1","Canada_RTC_SSM_Frog","Canada"
23,"RTC_SSM_Tsenaglode.1","Canada_RTC_SSM_Tsenaglode","Canada"
24,"RTC_SSM_Pink_Mountain.1","Canada_RTC_SSM_Pink_Mountain","Canada"
25,"RTC_SSM_Wolverine.1","Canada_RTC_SSM_Wolverine","Canada"
26,"RTC_SSM_Spatsizi.1","Canada_RTC_SSM_Spatsizi","Canada"
27,"RTC_SSM_Tweedsmuir.1","Canada_RTC_SSM_Tweedsmuir","Canada"
28,"RTC_SSM_Itchas.1","Canada_RTC_SSM_Itchas","Canada"
29,"RTC_SSM_Graham.1","Canada_RTC_SSM_Graham","Canada"
30,"RTC_SSM_kennedy.1","Canada_RTC_SSM_kennedy","Canada"
31,"RTC_SSM_quintette.1","Canada_RTC_SSM_quintette","Canada"
32,"RTC_SSM_burnt.1","Canada_RTC_SSM_burnt","Canada"
33,"RTC_SSM_Jasper.1","Canada_RTC_SSM_Jasper","Canada"
34,"RTC_DSM_Hart.1","Canada_RTC_DSM_Hart","Canada"
35,"RTC_DSM_N_Cariboo_Mtn_PG.1","Canada_RTC_DSM_N_Cariboo_Mtn_PG","Canada"
36,"RTC_DSM_Barkerville.1","Canada_RTC_DSM_Barkerville","Canada"
37,"RTC_DSM_WELLS_GRAY.1","Canada_RTC_DSM_WELLS_GRAY","Canada"
38,"RTC_DSM_ALLEN.1","Canada_RTC_DSM_ALLEN","Canada"
39,"RTC_DSM_GROUNDHOG.1","Canada_RTC_DSM_GROUNDHOG","Canada"
40,"RTC_DSM_Kinbasket.1","Canada_RTC_DSM_Kinbasket","Canada"
41,"RTC_DSM_Columbia_North.1","Canada_RTC_DSM_Columbia_North","Canada"
42,"RTC_DSM_FRISBY_QUEEST.1","Canada_RTC_DSM_FRISBY_QUEEST","Canada"
43,"RTC_DSM_Columbia_South.1","Canada_RTC_DSM_Columbia_South","Canada"
44,"RTC_DSM_Central_Selkirk.1","Canada_RTC_DSM_Central_Selkirk","Canada"
45,"RTC_DSM_Duncan.1","Canada_RTC_DSM_Duncan","Canada"
46,"RTC_DSM_Purcell.1","Canada_RTC_DSM_Purcell","Canada"
47,"RTC_DSM_South_Selkirk.1","Canada_RTC_DSM_South_Selkirk","Canada"
48,"RTP_Bathurst.1","Canada_RTP_Bathurst","Canada"
49,"Nen.YaNAO.1","Russia_Nen","Russia"
50,"Todzh.1","Russia_Todzh","Russia"
51,"Tofal.1","Russia_Tofal","Russia"
52,"Evensk.1","Russia_Evensk","Russia"
53,"Evenki.1","Russia_Evenki","Russia"
54,"Chuk.1","Russia_Chuk","Russia"
55,"Wild.Taimyr.1","Russia_Wild.Taimyr","Russia"
56,"Wild.Tura.1","Russia_Wild.Tura","Russia"
57,"Wild.Murm.1","Russia_Wild.Murm","Russia"
58,"Wild.Amur.1","Russia_Wild.Amur","Russia"
59,"Wild.Magad.1","Russia_Wild.Magad","Russia"
60,"Wild.Yakut.1","Russia_Wild.Yakut","Russia"
61,"Wild.Chuk.1","Russia_Wild.Chuk","Russia"
62,"Nenets.murmansk.1","Russia_Nenets.murmansk","Russia"
63,"Wild.magadan160","Russia_Wild.magadan","Russia"
64,"Chukchi45.x1","Russia_Chukchi45","Russia"
65,"Nenets.Taimyr62.1","Russia_Nenets.Taimyr62","Russia"
66,"Nenets.Yamal69.1","Russia_Nenets.Yamal69","Russia"
67,"Evenki.calves.91","Russia_Evenki.calves.Surinda","Russia"
68,"Wild.wrangel.190","Russia_Wild.wrangel","Russia"
69,"tofal.0001","Russia_tofal","Russia"
